,Date,Open,High,Low,Close,Adj Close,Volume,sma20,sma100,sma200,bb_bbh,bb_bbl,sma_100_200_diff,bb_diff,sma_100_200_diff_buy,sma_100_200_diff_sell,bb_diff_buy,bb_diff_sell,sma_100_buy,sma_100_sell,sma_200_buy,sma_200_sell,sma_100_bb_bbh_buy,sma_200_bb_bbh_buy,sma_100_bb_bbl_sell,sma_200_bb_bbl_sell,BUY_SELL_FLAG,BUY_SELL_SIGNAL
38,2021-01-08,39381.765625,41946.738281,36838.636719,40797.609375,40797.609375,88107519480,29197.27734385,24582.514172769228,24582.514172769228,39792.87803202089,18601.676655679115,0.0,21191.201376341774,0,0,1,0,1,0,1,0,1,1,1,1,_,-
39,2021-01-09,40788.640625,41436.351563,38980.875,40254.546875,40254.546875,61984162837,30036.139941499998,24974.314990324998,24974.314990324998,41321.57277448731,18750.707108512688,0.0,22570.86566597462,0,0,1,0,1,0,1,0,1,1,1,1,_,-
40,2021-01-10,40254.21875,41420.191406,35984.628906,38356.441406,38356.441406,79980747690,30813.807910249998,25300.708317536584,25300.708317536584,42141.82549030751,19485.79033019249,0.0,22656.035160115018,0,0,1,0,1,0,1,0,1,1,1,1,_,-
41,2021-01-11,38346.53125,38346.53125,30549.599609,35566.65625,35566.65625,123320567399,31402.989257899997,25545.13564926191,25545.13564926191,42428.731298182065,20377.24721761793,0.0,22051.484080564136,0,0,1,0,1,0,1,0,1,1,1,1,_,-
42,2021-01-12,35516.359375,36568.527344,32697.976563,33922.960938,33922.960938,74773277909,31937.07001965,25739.968795511628,25739.968795511628,42347.33345766206,21526.80658163794,0.0,20820.526876024123,0,0,1,0,1,0,1,0,1,1,1,1,_,-
43,2021-01-13,33915.121094,37599.960938,32584.667969,37316.359375,37316.359375,69364315979,32616.090527450004,26003.06858140909,26003.06858140909,42559.17776256488,22673.003292335125,0.0,19886.17447022976,0,0,1,0,1,0,1,0,1,1,1,1,_,-
44,2021-01-14,37325.109375,39966.40625,36868.5625,39187.328125,39187.328125,63615990033,33342.217382899995,26296.052126822222,26296.052126822222,42972.76995545862,23711.664810341368,0.0,19261.105145117253,0,0,1,0,1,0,1,0,1,1,1,1,_,-
45,2021-01-15,39156.707031,39577.710938,34659.589844,36825.367188,36825.367188,67760757881,33861.63388685,26524.950280326084,26524.950280326084,43057.205235301124,24666.06253839888,0.0,18391.142696902243,0,0,1,0,1,0,1,0,1,1,1,1,_,-
46,2021-01-16,36821.648438,37864.367188,35633.554688,36178.140625,36178.140625,57706187875,34356.926172,26730.337308936167,26730.337308936167,42908.586954704115,25805.265389295884,0.0,17103.32156540823,0,0,1,0,1,0,1,0,1,1,1,1,_,-
47,2021-01-17,36163.648438,36722.351563,34069.320313,35791.277344,35791.277344,52359854336,34792.249609499995,26919.106893,26919.106893,42679.429714250015,26905.069504749972,0.0,15774.360209500042,0,0,1,0,1,0,1,0,1,1,1,1,_,-
48,2021-01-18,35792.238281,37299.285156,34883.84375,36630.074219,36630.074219,49511702429,35255.631445449995,27117.28989965306,27117.28989965306,42395.926772939834,28115.336117960156,0.0,14280.590654979678,0,0,1,0,1,0,1,0,1,1,0,0,_,-
49,2021-01-19,36642.234375,37755.890625,36069.804688,36069.804688,36069.804688,57244195486,35617.0740236,27296.340195419998,27296.340195419998,42125.853512673275,29108.294534526718,0.0,13017.558978146557,0,0,1,0,1,0,1,0,1,1,1,1,_,-
50,2021-01-20,36050.113281,36378.328125,33570.476563,35547.75,35547.75,66834573161,35944.37548845,27458.13254452941,27458.13254452941,41704.938542057185,30183.812434842817,0.0,11521.126107214368,0,0,1,0,1,0,1,0,1,1,1,1,_,-
51,2021-01-21,35549.398438,35552.679688,30250.75,30825.699219,30825.699219,75643067688,36016.9528322,27522.893442115383,27522.893442115383,41473.10713060411,30560.798533795878,0.0,10912.308596808234,0,0,1,0,1,0,1,0,1,1,1,1,_,-
52,2021-01-22,30817.625,33811.851563,28953.373047,33005.761719,33005.761719,77207272511,36060.877539249996,27626.343786962265,27626.343786962265,41404.043858683704,30717.711219816287,0.0,10686.332638867418,0,0,1,0,1,0,1,0,1,1,1,1,_,-
53,2021-01-23,32985.757813,33360.976563,31493.160156,32067.642578,32067.642578,48354737975,36025.15849625,27708.59006087037,27708.59006087037,41464.214587585375,30586.102404914618,0.0,10878.112182670757,0,0,1,0,1,0,1,0,1,1,1,1,_,-
54,2021-01-24,32064.376953,32944.007813,31106.685547,32289.378906,32289.378906,48643830599,36041.0317384,27791.877130781817,27791.877130781817,41434.34009855134,30647.72337824866,0.0,10786.616720302685,0,0,1,0,1,0,1,0,1,1,1,1,_,-
55,2021-01-25,32285.798828,34802.742188,32087.787109,32366.392578,32366.392578,59897054838,35959.7298829,27873.564906624997,27873.564906624997,41520.53698443623,30398.922781363766,0.0,11121.614203072462,0,0,1,0,1,0,1,0,1,1,1,1,_,-
56,2021-01-26,32358.613281,32794.550781,31030.265625,32569.849609,32569.849609,60255421470,35747.004199300005,27955.95586631579,27955.95586631579,41482.01128092568,30011.997117674324,0.0,11470.014163251359,0,0,1,0,1,0,1,0,1,1,1,1,_,-
57,2021-01-27,32564.029297,32564.029297,29367.138672,30432.546875,30432.546875,62576762015,35300.079394600005,27998.655711293104,27998.655711293104,41225.72695681425,29374.431832385762,0.0,11851.295124428489,0,0,1,0,1,0,1,0,1,1,1,1,_,-
58,2021-01-28,30441.041016,33858.3125,30023.207031,33466.097656,33466.097656,76517157706,34933.50380865,28091.32421883051,28091.32421883051,40337.56885425608,29529.438763043912,0.0,10808.13009121217,0,0,1,0,1,0,1,0,1,1,1,1,_,-
59,2021-01-29,34318.671875,38406.261719,32064.814453,34316.386719,34316.386719,117894572511,34636.59580085,28195.0752605,28195.0752605,39459.952349399544,29813.23925230046,0.0,9646.713097099084,0,0,1,0,1,0,1,0,1,1,1,1,_,-
60,2021-01-30,34295.933594,34834.707031,32940.1875,34269.523438,34269.523438,65141828798,34432.24990245,28294.656378163934,28294.656378163934,38944.14945456184,29920.350350338158,0.0,9023.799104223683,0,0,1,0,1,0,1,0,1,1,1,1,_,-
61,2021-01-31,34270.878906,34288.332031,32270.175781,33114.359375,33114.359375,52754542671,34309.635058700005,28372.393523274193,28372.393523274193,38824.84175440196,29794.42836299805,0.0,9030.413391403912,0,0,1,0,1,0,1,0,1,1,1,1,_,-
62,2021-02-01,33114.578125,34638.214844,32384.228516,33537.175781,33537.175781,61400400660,34290.34580085,28454.374194031745,28454.374194031745,38815.2809932097,29765.410608490303,0.0,9049.870384719397,0,0,1,0,1,0,1,0,1,1,1,1,_,-
63,2021-02-02,33533.199219,35896.882813,33489.21875,35510.289063,35510.289063,63088585433,34200.04228525,28564.622863859375,28564.622863859375,38548.45812066885,29851.626449831143,0.0,8696.83167083771,0,0,1,0,1,0,1,0,1,1,1,1,_,-
64,2021-02-03,35510.820313,37480.1875,35443.984375,37472.089844,37472.089844,61166818159,34114.280371199995,28701.6608174,28701.6608174,38120.02061365027,30108.540128749726,0.0,8011.480484900541,0,0,1,0,1,0,1,0,1,1,1,1,_,-
65,2021-02-04,37475.105469,38592.175781,36317.5,36926.066406,36926.066406,68838074392,34119.3153321,28826.27302328788,28826.27302328788,38138.90278383114,30099.727880368864,0.0,8039.1749034622735,0,0,1,0,1,0,1,0,1,1,1,1,_,-
66,2021-02-05,36931.546875,38225.90625,36658.761719,38144.308594,38144.308594,58598066402,34217.623730549996,28965.3481810597,28965.3481810597,38520.040138991,29915.207322109,0.0,8604.832816881997,0,0,1,0,1,0,1,0,1,1,1,1,_,-
67,2021-02-06,38138.386719,40846.546875,38138.386719,39266.011719,39266.011719,71326033653,34391.3604493,29116.828527205882,29116.828527205882,39186.359539937526,29596.361358662478,0.0,9589.998181275048,0,0,1,0,1,0,1,0,1,1,1,1,_,-
68,2021-02-07,39250.191406,39621.835938,37446.152344,38903.441406,38903.441406,65500641143,34505.02880864999,29258.66349646377,29258.66349646377,39605.00344966337,29405.05416763662,0.0,10199.949282026748,0,0,1,0,1,0,1,0,1,1,1,1,_,-
69,2021-02-08,38886.828125,46203.929688,38076.324219,46196.464844,46196.464844,101467222687,35011.36181645,29500.632087142854,29500.632087142854,42210.83953938556,27811.884093514444,0.0,14398.955445871117,0,0,1,0,1,0,1,0,1,1,0,0,_,-
70,2021-02-09,46184.992188,48003.722656,45166.960938,46481.105469,46481.105469,91809846886,35558.0295899,29739.793684070424,29739.793684070424,44326.75574021865,26789.30343958135,0.0,17537.452300637302,0,0,1,0,1,0,1,0,1,1,1,1,_,-
71,2021-02-10,46469.761719,47145.566406,43881.152344,44918.183594,44918.183594,87301089896,36262.65380865,29950.604655041665,29950.604655041665,45640.71776604075,26884.589851259254,0.0,18756.127914781493,0,0,1,0,1,0,1,0,1,1,1,1,_,-
72,2021-02-11,44898.710938,48463.46875,44187.761719,47909.332031,47909.332031,81388911810,37007.83232425,30196.614619095893,30196.614619095893,47530.87717898342,26484.787469516574,0.0,21046.089709466847,0,0,1,0,1,0,1,0,1,1,1,1,_,-
73,2021-02-12,47877.035156,48745.734375,46424.976563,47504.851563,47504.851563,76555041196,37779.6927735,30430.50971293243,30430.50971293243,48982.71854496963,26576.667002030365,0.0,22406.05154293927,0,0,1,0,1,0,1,0,1,1,1,1,_,-
