Date,Open,High,Low,Close,Change(Pips),Change(%)
02/02/2022 04:00,114.794,114.799,114.751,114.759,-3.5,-0.03
02/02/2022 04:15,114.764,114.769,114.752,114.76,-0.4,0
02/02/2022 04:30,114.759,114.768,114.74,114.744,-1.5,-0.01
02/02/2022 04:45,114.744,114.768,114.736,114.765,2.1,0.02
02/02/2022 05:00,114.765,114.776,114.758,114.771,0.6,0.01
02/02/2022 05:15,114.767,114.773,114.743,114.747,-2,-0.02
02/02/2022 05:30,114.749,114.764,114.737,114.764,1.5,0.01
02/02/2022 05:45,114.761,114.762,114.732,114.754,-0.7,-0.01
02/02/2022 06:00,114.754,114.764,114.738,114.743,-1.1,-0.01
02/02/2022 06:15,114.741,114.743,114.715,114.729,-1.2,-0.01
02/02/2022 06:30,114.733,114.753,114.728,114.734,0.1,0
02/02/2022 06:45,114.731,114.737,114.682,114.705,-2.6,-0.02
02/02/2022 07:00,114.703,114.706,114.616,114.639,-6.4,-0.06
02/02/2022 07:15,114.637,114.637,114.609,114.624,-1.3,-0.01
02/02/2022 07:30,114.624,114.661,114.593,114.648,2.4,0.02
02/02/2022 07:45,114.653,114.676,114.616,114.631,-2.2,-0.02
02/02/2022 08:00,114.632,114.635,114.554,114.57,-6.2,-0.05
02/02/2022 08:15,114.567,114.6,114.523,114.534,-3.3,-0.03
02/02/2022 08:30,114.536,114.568,114.509,114.559,2.3,0.02
02/02/2022 08:45,114.555,114.558,114.518,114.532,-2.3,-0.02
02/02/2022 09:00,114.532,114.594,114.509,114.593,6.1,0.05
02/02/2022 09:15,114.599,114.605,114.53,114.542,-5.7,-0.05
02/02/2022 09:30,114.54,114.563,114.41,114.41,-13,-0.11
02/02/2022 09:45,114.414,114.444,114.401,114.406,-0.8,-0.01
02/02/2022 10:00,114.403,114.441,114.399,114.404,0.1,0
02/02/2022 10:15,114.403,114.406,114.322,114.348,-5.5,-0.05
02/02/2022 10:30,114.348,114.391,114.337,114.352,0.4,0
02/02/2022 10:45,114.351,114.417,114.345,114.409,5.8,0.05
02/02/2022 11:00,114.403,114.419,114.367,114.398,-0.5,0
02/02/2022 11:15,114.4,114.409,114.344,114.36,-4,-0.03
02/02/2022 11:30,114.36,114.398,114.347,114.376,1.6,0.01
02/02/2022 11:45,114.373,114.387,114.332,114.339,-3.4,-0.03
02/02/2022 12:00,114.344,114.353,114.299,114.3,-4.4,-0.04
02/02/2022 12:15,114.301,114.307,114.261,114.272,-2.9,-0.03
02/02/2022 12:30,114.271,114.287,114.255,114.267,-0.4,0
02/02/2022 12:45,114.264,114.283,114.236,114.236,-2.8,-0.02
02/02/2022 13:00,114.239,114.265,114.205,114.235,-0.4,0
02/02/2022 13:15,114.235,114.311,114.153,114.31,7.5,0.07
02/02/2022 13:30,114.312,114.367,114.298,114.357,4.5,0.04
02/02/2022 13:45,114.352,114.428,114.343,114.426,7.4,0.06
02/02/2022 14:00,114.42,114.445,114.356,114.375,-4.5,-0.04
02/02/2022 14:15,114.369,114.376,114.326,114.335,-3.4,-0.03
02/02/2022 14:30,114.337,114.355,114.215,114.242,-9.5,-0.08
02/02/2022 14:45,114.239,114.261,114.198,114.242,0.3,0
02/02/2022 15:00,114.242,114.332,114.196,114.305,6.3,0.06
02/02/2022 15:15,114.305,114.338,114.256,114.299,-0.6,-0.01
02/02/2022 15:30,114.294,114.345,114.282,114.338,4.4,0.04
02/02/2022 15:45,114.343,114.408,114.325,114.38,3.7,0.03
02/02/2022 16:00,114.376,114.406,114.344,114.371,-0.5,0
02/02/2022 16:15,114.372,114.393,114.338,114.344,-2.8,-0.02
02/02/2022 16:30,114.347,114.367,114.321,114.343,-0.4,0
02/02/2022 16:45,114.34,114.379,114.331,114.37,3,0.03
02/02/2022 17:00,114.37,114.373,114.331,114.339,-3.1,-0.03
02/02/2022 17:15,114.336,114.338,114.297,114.299,-3.7,-0.03
02/02/2022 17:30,114.304,114.328,114.297,114.322,1.8,0.02
02/02/2022 17:45,114.32,114.333,114.311,114.327,0.7,0.01
02/02/2022 18:00,114.325,114.344,114.306,114.326,0.1,0
02/02/2022 18:15,114.324,114.351,114.322,114.343,1.9,0.02
02/02/2022 18:30,114.351,114.388,114.35,114.382,3.1,0.03
02/02/2022 18:45,114.381,114.41,114.376,114.394,1.3,0.01
02/02/2022 19:00,114.394,114.418,114.393,114.396,0.2,0
02/02/2022 19:15,114.396,114.417,114.374,114.415,1.9,0.02
02/02/2022 19:30,114.413,114.418,114.394,114.398,-1.5,-0.01
02/02/2022 19:45,114.398,114.403,114.371,114.379,-1.9,-0.02
02/02/2022 20:00,114.381,114.399,114.371,114.397,1.6,0.01
02/02/2022 20:15,114.394,114.436,114.394,114.431,3.7,0.03
02/02/2022 20:30,114.427,114.441,114.407,114.437,1,0.01
02/02/2022 20:45,114.439,114.464,114.423,114.458,1.9,0.02
02/02/2022 21:00,114.457,114.462,114.403,114.41,-4.7,-0.04
02/02/2022 21:15,114.413,114.442,114.41,114.427,1.4,0.01
02/02/2022 21:30,114.431,114.432,114.409,114.426,-0.5,0
02/02/2022 21:45,114.423,114.436,114.421,114.436,1.3,0.01
02/02/2022 22:00,114.402,114.404,114.359,114.404,0.2,0
02/02/2022 22:15,114.399,114.401,114.397,114.397,-0.2,0
02/02/2022 22:30,114.397,114.423,114.397,114.423,2.6,0.02
