INFO 2022-09-30 02:18:06,648 Symbol:  ETHUSD | Position:    0 | close price:  1335.73 | Side:  BUY 🟢 | Profits:  -1335.73 | Quantity:    1 🤑
INFO 2022-09-30 02:19:01,742 Symbol:  ETHUSD | Position:    1 | close price:  1337.08 | Side:  BUY 🟢 | Profits:  -2672.81 | Quantity:    1 🤑
INFO 2022-09-30 02:20:01,845 Symbol:  ETHUSD | Position:    2 | close price:  1336.09 | Side:  BUY 🟢 | Profits:  -4008.90 | Quantity:    1 🤑
INFO 2022-09-30 02:21:01,600 Symbol:  ETHUSD | Position:    3 | close price:  1336.23 | Side:  BUY 🟢 | Profits:  -5345.13 | Quantity:    1 🤑
INFO 2022-09-30 02:22:01,369 Symbol:  ETHUSD | Position:    4 | close price:  1335.75 | Side:  BUY 🟢 | Profits:  -6680.88 | Quantity:    1 🤑
INFO 2022-09-30 02:23:01,351 Symbol:  ETHUSD | Position:    5 | close price:  1336.23 | Side:  BUY 🟢 | Profits:  -8017.11 | Quantity:    1 🤑
INFO 2022-09-30 02:24:01,153 Symbol:  ETHUSD | Position:    6 | close price:  1336.23 | Side:  BUY 🟢 | Profits:  -9353.34 | Quantity:    1 🤑
INFO 2022-09-30 02:25:00,957 Symbol:  ETHUSD | Position:    7 | close price:  1336.61 | Side:  BUY 🟢 | Profits: -10689.95 | Quantity:    1 🤑
INFO 2022-09-30 02:26:01,880 Symbol:  ETHUSD | Position:    8 | close price:  1336.32 | Side:  BUY 🟢 | Profits: -12026.27 | Quantity:    1 🤑
INFO 2022-09-30 02:27:01,559 Symbol:  ETHUSD | Position:    9 | close price:  1333.47 | Side:  BUY 🟢 | Profits: -13359.74 | Quantity:    1 🤑
INFO 2022-09-30 02:28:01,280 Symbol:  ETHUSD | Position:   10 | close price:  1333.33 | Side:  BUY 🟢 | Profits: -14693.07 | Quantity:    1 🤑
INFO 2022-09-30 02:32:01,252 Symbol:  ETHUSD | Position:   11 | close price:  1331.41 | Side: SELL 🔴 | Profits: -13361.66 | Quantity:    1 💵
INFO 2022-09-30 02:33:00,944 Symbol:  ETHUSD | Position:   10 | close price:  1331.41 | Side: SELL 🔴 | Profits: -12030.25 | Quantity:    1 💵
INFO 2022-09-30 02:34:01,638 Symbol:  ETHUSD | Position:    9 | close price:  1330.91 | Side: SELL 🔴 | Profits: -10699.34 | Quantity:    1 💵
INFO 2022-09-30 02:35:01,371 Symbol:  ETHUSD | Position:    8 | close price:  1331.07 | Side: SELL 🔴 | Profits:  -9368.27 | Quantity:    1 💵
INFO 2022-09-30 02:36:01,174 Symbol:  ETHUSD | Position:    7 | close price:  1331.07 | Side: SELL 🔴 | Profits:  -8037.20 | Quantity:    1 💵
INFO 2022-09-30 02:37:01,384 Symbol:  ETHUSD | Position:    6 | close price:  1330.97 | Side: SELL 🔴 | Profits:  -6706.23 | Quantity:    1 💵
INFO 2022-09-30 02:38:01,391 Symbol:  ETHUSD | Position:    5 | close price:  1330.56 | Side: SELL 🔴 | Profits:  -5375.67 | Quantity:    1 💵
INFO 2022-09-30 02:39:01,499 Symbol:  ETHUSD | Position:    4 | close price:  1330.63 | Side: SELL 🔴 | Profits:  -4045.04 | Quantity:    1 💵
INFO 2022-09-30 02:40:01,711 Symbol:  ETHUSD | Position:    3 | close price:  1331.75 | Side: SELL 🔴 | Profits:  -2713.29 | Quantity:    1 💵
INFO 2022-09-30 02:41:01,820 Symbol:  ETHUSD | Position:    2 | close price:  1334.06 | Side: SELL 🔴 | Profits:  -1379.23 | Quantity:    1 💵
INFO 2022-09-30 02:49:01,167 Symbol:  ETHUSD | Position:    1 | close price:  1335.31 | Side:  BUY 🟢 | Profits:  -2714.54 | Quantity:    1 🤑
INFO 2022-09-30 02:50:01,287 Symbol:  ETHUSD | Position:    2 | close price:  1336.42 | Side:  BUY 🟢 | Profits:  -4050.96 | Quantity:    1 🤑
INFO 2022-09-30 02:51:01,407 Symbol:  ETHUSD | Position:    3 | close price:   1337.3 | Side:  BUY 🟢 | Profits:  -5388.26 | Quantity:    1 🤑
INFO 2022-09-30 02:52:01,495 Symbol:  ETHUSD | Position:    4 | close price:  1338.79 | Side:  BUY 🟢 | Profits:  -6727.05 | Quantity:    1 🤑
INFO 2022-09-30 02:53:01,747 Symbol:  ETHUSD | Position:    5 | close price:   1338.8 | Side:  BUY 🟢 | Profits:  -8065.85 | Quantity:    1 🤑
INFO 2022-09-30 02:54:02,020 Symbol:  ETHUSD | Position:    6 | close price:  1338.03 | Side:  BUY 🟢 | Profits:  -9403.88 | Quantity:    1 🤑
INFO 2022-09-30 02:55:00,990 Symbol:  ETHUSD | Position:    7 | close price:  1338.03 | Side:  BUY 🟢 | Profits: -10741.91 | Quantity:    1 🤑
INFO 2022-09-30 02:56:02,136 Symbol:  ETHUSD | Position:    8 | close price:  1336.89 | Side:  BUY 🟢 | Profits: -12078.80 | Quantity:    1 🤑
INFO 2022-09-30 02:57:02,450 Symbol:  ETHUSD | Position:    9 | close price:  1339.31 | Side:  BUY 🟢 | Profits: -13418.11 | Quantity:    1 🤑
INFO 2022-09-30 02:58:01,741 Symbol:  ETHUSD | Position:   10 | close price:  1338.83 | Side:  BUY 🟢 | Profits: -14756.94 | Quantity:    1 🤑
