INFO 2022-10-07 01:40:09,877 Symbol:  ETHUSD | Position:    0 | close price:  1359.77 | Side:  BUY \U0001f7e2 | Profits:  -1359.77 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:41:01,504 Symbol:  ETHUSD | Position:    1 | close price:   1359.4 | Side:  BUY \U0001f7e2 | Profits:  -2719.17 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:42:02,430 Symbol:  ETHUSD | Position:    2 | close price:  1359.45 | Side:  BUY \U0001f7e2 | Profits:  -4078.62 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:43:03,534 Symbol:  ETHUSD | Position:    3 | close price:  1359.43 | Side:  BUY \U0001f7e2 | Profits:  -5438.05 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:44:01,091 Symbol:  ETHUSD | Position:    4 | close price:  1359.56 | Side:  BUY \U0001f7e2 | Profits:  -6797.61 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:45:00,870 Symbol:  ETHUSD | Position:    5 | close price:  1359.55 | Side:  BUY \U0001f7e2 | Profits:  -8157.16 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:46:01,424 Symbol:  ETHUSD | Position:    6 | close price:  1358.68 | Side:  BUY \U0001f7e2 | Profits:  -9515.84 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:47:00,969 Symbol:  ETHUSD | Position:    7 | close price:  1358.68 | Side:  BUY \U0001f7e2 | Profits: -10874.52 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:48:01,664 Symbol:  ETHUSD | Position:    8 | close price:  1361.32 | Side:  BUY \U0001f7e2 | Profits: -12235.84 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:49:01,320 Symbol:  ETHUSD | Position:    9 | close price:  1359.47 | Side:  BUY \U0001f7e2 | Profits: -13595.31 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:50:00,916 Symbol:  ETHUSD | Position:   10 | close price:  1359.47 | Side:  BUY \U0001f7e2 | Profits: -14954.78 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:51:02,202 Symbol:  ETHUSD | Position:   11 | close price:  1359.93 | Side: SELL \U0001f534 | Profits: -13594.85 | Quantity:    1 \U0001f4b5
INFO 2022-10-07 01:52:01,462 Symbol:  ETHUSD | Position:   10 | close price:  1359.42 | Side: SELL \U0001f534 | Profits: -12235.43 | Quantity:    1 \U0001f4b5
INFO 2022-10-07 01:53:01,625 Symbol:  ETHUSD | Position:    9 | close price:  1359.16 | Side: SELL \U0001f534 | Profits: -10876.27 | Quantity:    1 \U0001f4b5
INFO 2022-10-07 01:54:01,606 Symbol:  ETHUSD | Position:    8 | close price:  1358.72 | Side: SELL \U0001f534 | Profits:  -9517.55 | Quantity:    1 \U0001f4b5
INFO 2022-10-07 01:55:01,890 Symbol:  ETHUSD | Position:    7 | close price:  1360.11 | Side: SELL \U0001f534 | Profits:  -8157.44 | Quantity:    1 \U0001f4b5
INFO 2022-10-07 01:56:01,978 Symbol:  ETHUSD | Position:    6 | close price:  1361.52 | Side:  BUY \U0001f7e2 | Profits:  -9518.96 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:57:02,307 Symbol:  ETHUSD | Position:    7 | close price:  1359.59 | Side:  BUY \U0001f7e2 | Profits: -10878.55 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:58:00,890 Symbol:  ETHUSD | Position:    8 | close price:  1359.72 | Side:  BUY \U0001f7e2 | Profits: -12238.27 | Quantity:    1 \U0001f911
INFO 2022-10-07 01:59:01,449 Symbol:  ETHUSD | Position:    9 | close price:  1359.15 | Side:  BUY \U0001f7e2 | Profits: -13597.42 | Quantity:    1 \U0001f911
INFO 2022-10-07 02:00:01,020 Symbol:  ETHUSD | Position:   10 | close price:  1358.97 | Side:  BUY \U0001f7e2 | Profits: -14956.39 | Quantity:    1 \U0001f911
INFO 2022-10-07 02:01:00,583 Symbol:  ETHUSD | Position:   11 | close price:  1358.98 | Side: SELL \U0001f534 | Profits: -13597.41 | Quantity:    1 \U0001f4b5
INFO 2022-10-07 02:02:01,294 Symbol:  ETHUSD | Position:   10 | close price:  1359.47 | Side: SELL \U0001f534 | Profits: -12237.94 | Quantity:    1 \U0001f4b5
INFO 2022-10-07 02:03:00,925 Symbol:  ETHUSD | Position:    9 | close price:  1359.47 | Side: SELL \U0001f534 | Profits: -10878.47 | Quantity:    1 \U0001f4b5
INFO 2022-10-07 02:04:01,523 Symbol:  ETHUSD | Position:    8 | close price:  1359.27 | Side: SELL \U0001f534 | Profits:  -9519.20 | Quantity:    1 \U0001f4b5
