INFO 2022-10-04 06:10:01,366 Symbol:  ETHUSD | Position:    0 | close price:  1326.81 | Side:  BUY \U0001f7e2 | Profits:  -1326.81 | Quantity:    1 \U0001f911
INFO 2022-10-04 06:11:01,176 Symbol:  ETHUSD | Position:    1 | close price:  1327.04 | Side:  BUY \U0001f7e2 | Profits:  -2653.85 | Quantity:    1 \U0001f911
INFO 2022-10-04 06:12:01,583 Symbol:  ETHUSD | Position:    2 | close price:  1327.91 | Side:  BUY \U0001f7e2 | Profits:  -3981.76 | Quantity:    1 \U0001f911
INFO 2022-10-04 06:13:01,554 Symbol:  ETHUSD | Position:    3 | close price:  1328.01 | Side:  BUY \U0001f7e2 | Profits:  -5309.77 | Quantity:    1 \U0001f911
INFO 2022-10-04 06:14:01,514 Symbol:  ETHUSD | Position:    4 | close price:   1328.8 | Side:  BUY \U0001f7e2 | Profits:  -6638.57 | Quantity:    1 \U0001f911
INFO 2022-10-04 06:15:02,165 Symbol:  ETHUSD | Position:    5 | close price:  1328.59 | Side:  BUY \U0001f7e2 | Profits:  -7967.16 | Quantity:    1 \U0001f911
INFO 2022-10-04 06:16:01,088 Symbol:  ETHUSD | Position:    6 | close price:  1329.49 | Side:  BUY \U0001f7e2 | Profits:  -9296.65 | Quantity:    1 \U0001f911
INFO 2022-10-04 06:17:01,068 Symbol:  ETHUSD | Position:    7 | close price:  1327.47 | Side:  BUY \U0001f7e2 | Profits: -10624.12 | Quantity:    1 \U0001f911
INFO 2022-10-04 06:18:00,906 Symbol:  ETHUSD | Position:    8 | close price:  1328.44 | Side:  BUY \U0001f7e2 | Profits: -11952.56 | Quantity:    1 \U0001f911
INFO 2022-10-04 06:19:03,548 Symbol:  ETHUSD | Position:    9 | close price:  1328.07 | Side:  BUY \U0001f7e2 | Profits: -13280.63 | Quantity:    1 \U0001f911
INFO 2022-10-04 06:20:01,884 Symbol:  ETHUSD | Position:   10 | close price:  1327.35 | Side:  BUY \U0001f7e2 | Profits: -14607.98 | Quantity:    1 \U0001f911
INFO 2022-10-04 06:28:01,753 Symbol:  ETHUSD | Position:   11 | close price:  1325.96 | Side: SELL \U0001f534 | Profits: -13282.02 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 06:29:01,592 Symbol:  ETHUSD | Position:   10 | close price:  1326.18 | Side: SELL \U0001f534 | Profits: -11955.84 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 06:30:01,585 Symbol:  ETHUSD | Position:    9 | close price:  1325.58 | Side: SELL \U0001f534 | Profits: -10630.26 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 06:31:01,447 Symbol:  ETHUSD | Position:    8 | close price:  1324.83 | Side: SELL \U0001f534 | Profits:  -9305.43 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 06:32:01,310 Symbol:  ETHUSD | Position:    7 | close price:  1324.84 | Side: SELL \U0001f534 | Profits:  -7980.59 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 06:33:01,128 Symbol:  ETHUSD | Position:    6 | close price:  1325.03 | Side: SELL \U0001f534 | Profits:  -6655.56 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 06:34:00,950 Symbol:  ETHUSD | Position:    5 | close price:  1324.66 | Side: SELL \U0001f534 | Profits:  -5330.90 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 06:35:01,915 Symbol:  ETHUSD | Position:    4 | close price:  1324.47 | Side: SELL \U0001f534 | Profits:  -4006.43 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 06:36:03,343 Symbol:  ETHUSD | Position:    3 | close price:  1324.58 | Side: SELL \U0001f534 | Profits:  -2681.85 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 06:37:01,822 Symbol:  ETHUSD | Position:    2 | close price:  1324.24 | Side: SELL \U0001f534 | Profits:  -1357.61 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:11:04,144 Symbol:  ETHUSD | Position:    1 | close price:  1323.79 | Side:  BUY \U0001f7e2 | Profits:  -2681.40 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:12:01,422 Symbol:  ETHUSD | Position:    2 | close price:  1322.96 | Side:  BUY \U0001f7e2 | Profits:  -4004.36 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:13:01,363 Symbol:  ETHUSD | Position:    3 | close price:  1321.93 | Side:  BUY \U0001f7e2 | Profits:  -5326.29 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:14:01,210 Symbol:  ETHUSD | Position:    4 | close price:   1322.3 | Side:  BUY \U0001f7e2 | Profits:  -6648.59 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:15:01,363 Symbol:  ETHUSD | Position:    5 | close price:   1322.6 | Side:  BUY \U0001f7e2 | Profits:  -7971.19 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:16:01,150 Symbol:  ETHUSD | Position:    6 | close price:  1322.19 | Side:  BUY \U0001f7e2 | Profits:  -9293.38 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:17:00,998 Symbol:  ETHUSD | Position:    7 | close price:  1322.45 | Side:  BUY \U0001f7e2 | Profits: -10615.83 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:18:01,018 Symbol:  ETHUSD | Position:    8 | close price:  1323.27 | Side:  BUY \U0001f7e2 | Profits: -11939.10 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:19:01,001 Symbol:  ETHUSD | Position:    9 | close price:  1323.32 | Side:  BUY \U0001f7e2 | Profits: -13262.42 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:20:00,808 Symbol:  ETHUSD | Position:   10 | close price:  1323.07 | Side:  BUY \U0001f7e2 | Profits: -14585.49 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:30:02,039 Symbol:  ETHUSD | Position:   11 | close price:  1322.35 | Side: SELL \U0001f534 | Profits: -13263.14 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:31:01,012 Symbol:  ETHUSD | Position:   10 | close price:   1323.2 | Side: SELL \U0001f534 | Profits: -11939.94 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:32:01,003 Symbol:  ETHUSD | Position:    9 | close price:  1322.85 | Side: SELL \U0001f534 | Profits: -10617.09 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:33:02,206 Symbol:  ETHUSD | Position:    8 | close price:  1322.92 | Side: SELL \U0001f534 | Profits:  -9294.17 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:34:01,314 Symbol:  ETHUSD | Position:    7 | close price:  1322.78 | Side: SELL \U0001f534 | Profits:  -7971.39 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:35:01,085 Symbol:  ETHUSD | Position:    6 | close price:  1322.53 | Side: SELL \U0001f534 | Profits:  -6648.86 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:36:00,966 Symbol:  ETHUSD | Position:    5 | close price:  1322.46 | Side: SELL \U0001f534 | Profits:  -5326.40 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:37:01,822 Symbol:  ETHUSD | Position:    4 | close price:  1322.85 | Side: SELL \U0001f534 | Profits:  -4003.55 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:38:01,793 Symbol:  ETHUSD | Position:    3 | close price:  1323.09 | Side: SELL \U0001f534 | Profits:  -2680.46 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:39:01,787 Symbol:  ETHUSD | Position:    2 | close price:  1323.19 | Side:  BUY \U0001f7e2 | Profits:  -4003.65 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:40:01,599 Symbol:  ETHUSD | Position:    3 | close price:  1323.38 | Side:  BUY \U0001f7e2 | Profits:  -5327.03 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:41:01,575 Symbol:  ETHUSD | Position:    4 | close price:   1323.5 | Side:  BUY \U0001f7e2 | Profits:  -6650.53 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:42:01,378 Symbol:  ETHUSD | Position:    5 | close price:  1323.26 | Side:  BUY \U0001f7e2 | Profits:  -7973.79 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:43:01,856 Symbol:  ETHUSD | Position:    6 | close price:   1323.2 | Side:  BUY \U0001f7e2 | Profits:  -9296.99 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:44:01,747 Symbol:  ETHUSD | Position:    7 | close price:  1322.68 | Side:  BUY \U0001f7e2 | Profits: -10619.67 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:45:01,614 Symbol:  ETHUSD | Position:    8 | close price:   1322.0 | Side:  BUY \U0001f7e2 | Profits: -11941.67 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:46:01,561 Symbol:  ETHUSD | Position:    9 | close price:  1322.14 | Side:  BUY \U0001f7e2 | Profits: -13263.81 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:47:01,507 Symbol:  ETHUSD | Position:   10 | close price:  1322.25 | Side:  BUY \U0001f7e2 | Profits: -14586.06 | Quantity:    1 \U0001f911
INFO 2022-10-04 07:51:01,709 Symbol:  ETHUSD | Position:   11 | close price:  1322.25 | Side: SELL \U0001f534 | Profits: -13263.81 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:52:03,671 Symbol:  ETHUSD | Position:   10 | close price:  1321.04 | Side: SELL \U0001f534 | Profits: -11942.77 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:53:01,618 Symbol:  ETHUSD | Position:    9 | close price:  1321.42 | Side: SELL \U0001f534 | Profits: -10621.35 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:54:01,681 Symbol:  ETHUSD | Position:    8 | close price:  1321.69 | Side: SELL \U0001f534 | Profits:  -9299.66 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:55:05,132 Symbol:  ETHUSD | Position:    7 | close price:  1321.91 | Side: SELL \U0001f534 | Profits:  -7977.75 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:56:00,963 Symbol:  ETHUSD | Position:    6 | close price:  1321.64 | Side: SELL \U0001f534 | Profits:  -6656.11 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:57:01,774 Symbol:  ETHUSD | Position:    5 | close price:  1321.24 | Side: SELL \U0001f534 | Profits:  -5334.87 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:58:01,605 Symbol:  ETHUSD | Position:    4 | close price:  1321.43 | Side: SELL \U0001f534 | Profits:  -4013.44 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 07:59:01,563 Symbol:  ETHUSD | Position:    3 | close price:  1320.88 | Side: SELL \U0001f534 | Profits:  -2692.56 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 08:00:01,421 Symbol:  ETHUSD | Position:    2 | close price:   1319.7 | Side: SELL \U0001f534 | Profits:  -1372.86 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 08:26:01,177 Symbol:  ETHUSD | Position:    1 | close price:  1320.11 | Side:  BUY \U0001f7e2 | Profits:  -2692.97 | Quantity:    1 \U0001f911
INFO 2022-10-04 08:27:01,098 Symbol:  ETHUSD | Position:    2 | close price:   1320.0 | Side:  BUY \U0001f7e2 | Profits:  -4012.97 | Quantity:    1 \U0001f911
INFO 2022-10-04 08:28:01,075 Symbol:  ETHUSD | Position:    3 | close price:  1319.81 | Side:  BUY \U0001f7e2 | Profits:  -5332.78 | Quantity:    1 \U0001f911
INFO 2022-10-04 08:29:01,018 Symbol:  ETHUSD | Position:    4 | close price:   1320.4 | Side:  BUY \U0001f7e2 | Profits:  -6653.18 | Quantity:    1 \U0001f911
INFO 2022-10-04 08:30:00,979 Symbol:  ETHUSD | Position:    5 | close price:  1320.33 | Side:  BUY \U0001f7e2 | Profits:  -7973.51 | Quantity:    1 \U0001f911
INFO 2022-10-04 08:31:01,852 Symbol:  ETHUSD | Position:    6 | close price:  1320.31 | Side:  BUY \U0001f7e2 | Profits:  -9293.82 | Quantity:    1 \U0001f911
INFO 2022-10-04 08:32:01,719 Symbol:  ETHUSD | Position:    7 | close price:  1320.42 | Side:  BUY \U0001f7e2 | Profits: -10614.24 | Quantity:    1 \U0001f911
INFO 2022-10-04 08:33:01,484 Symbol:  ETHUSD | Position:    8 | close price:  1320.06 | Side:  BUY \U0001f7e2 | Profits: -11934.30 | Quantity:    1 \U0001f911
INFO 2022-10-04 08:34:01,375 Symbol:  ETHUSD | Position:    9 | close price:   1320.4 | Side:  BUY \U0001f7e2 | Profits: -13254.70 | Quantity:    1 \U0001f911
INFO 2022-10-04 08:35:01,195 Symbol:  ETHUSD | Position:   10 | close price:   1321.0 | Side:  BUY \U0001f7e2 | Profits: -14575.70 | Quantity:    1 \U0001f911
INFO 2022-10-04 09:07:00,826 Symbol:  ETHUSD | Position:   11 | close price:  1320.19 | Side: SELL \U0001f534 | Profits: -13255.51 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 09:08:01,808 Symbol:  ETHUSD | Position:   10 | close price:  1320.61 | Side: SELL \U0001f534 | Profits: -11934.90 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 09:09:02,301 Symbol:  ETHUSD | Position:    9 | close price:  1320.97 | Side: SELL \U0001f534 | Profits: -10613.93 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 09:10:01,159 Symbol:  ETHUSD | Position:    8 | close price:  1320.86 | Side: SELL \U0001f534 | Profits:  -9293.07 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 09:11:01,127 Symbol:  ETHUSD | Position:    7 | close price:   1321.1 | Side: SELL \U0001f534 | Profits:  -7971.97 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 09:12:01,082 Symbol:  ETHUSD | Position:    6 | close price:   1321.5 | Side: SELL \U0001f534 | Profits:  -6650.47 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 09:13:00,917 Symbol:  ETHUSD | Position:    5 | close price:  1321.44 | Side: SELL \U0001f534 | Profits:  -5329.03 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 09:14:01,775 Symbol:  ETHUSD | Position:    4 | close price:  1321.84 | Side: SELL \U0001f534 | Profits:  -4007.19 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 09:15:01,800 Symbol:  ETHUSD | Position:    3 | close price:  1322.32 | Side: SELL \U0001f534 | Profits:  -2684.87 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 09:16:01,788 Symbol:  ETHUSD | Position:    2 | close price:  1323.15 | Side: SELL \U0001f534 | Profits:  -1361.72 | Quantity:    1 \U0001f4b5
INFO 2022-10-04 09:17:01,711 Symbol:  ETHUSD | Position:    1 | close price:  1324.75 | Side:  BUY \U0001f7e2 | Profits:  -2686.47 | Quantity:    1 \U0001f911
INFO 2022-10-04 09:18:01,593 Symbol:  ETHUSD | Position:    2 | close price:  1324.88 | Side:  BUY \U0001f7e2 | Profits:  -4011.35 | Quantity:    1 \U0001f911
INFO 2022-10-04 09:19:01,450 Symbol:  ETHUSD | Position:    3 | close price:   1325.2 | Side:  BUY \U0001f7e2 | Profits:  -5336.55 | Quantity:    1 \U0001f911
INFO 2022-10-04 09:20:01,347 Symbol:  ETHUSD | Position:    4 | close price:  1324.89 | Side:  BUY \U0001f7e2 | Profits:  -6661.44 | Quantity:    1 \U0001f911
INFO 2022-10-04 09:21:01,480 Symbol:  ETHUSD | Position:    5 | close price:  1324.28 | Side:  BUY \U0001f7e2 | Profits:  -7985.72 | Quantity:    1 \U0001f911
INFO 2022-10-04 09:22:01,325 Symbol:  ETHUSD | Position:    6 | close price:  1324.37 | Side:  BUY \U0001f7e2 | Profits:  -9310.09 | Quantity:    1 \U0001f911
INFO 2022-10-04 09:23:02,089 Symbol:  ETHUSD | Position:    7 | close price:  1324.43 | Side:  BUY \U0001f7e2 | Profits: -10634.52 | Quantity:    1 \U0001f911
INFO 2022-10-04 09:24:01,087 Symbol:  ETHUSD | Position:    8 | close price:  1325.01 | Side:  BUY \U0001f7e2 | Profits: -11959.53 | Quantity:    1 \U0001f911
INFO 2022-10-04 09:25:01,064 Symbol:  ETHUSD | Position:    9 | close price:  1324.64 | Side:  BUY \U0001f7e2 | Profits: -13284.17 | Quantity:    1 \U0001f911
INFO 2022-10-04 09:26:01,062 Symbol:  ETHUSD | Position:   10 | close price:  1324.94 | Side:  BUY \U0001f7e2 | Profits: -14609.11 | Quantity:    1 \U0001f911
