INFO 2022-10-03 11:55:30,880 Symbol:  ETHUSD | Position:    0 | close price:  1298.24 | Side:  BUY 🟢 | Profits:  -1298.24 | Quantity:    1 🤑
INFO 2022-10-03 11:56:00,765 Symbol:  ETHUSD | Position:    1 | close price:  1298.39 | Side:  BUY 🟢 | Profits:  -2596.63 | Quantity:    1 🤑
INFO 2022-10-03 11:57:00,733 Symbol:  ETHUSD | Position:    2 | close price:  1297.06 | Side:  BUY 🟢 | Profits:  -3893.69 | Quantity:    1 🤑
INFO 2022-10-03 11:58:00,622 Symbol:  ETHUSD | Position:    3 | close price:  1297.67 | Side:  BUY 🟢 | Profits:  -5191.36 | Quantity:    1 🤑
INFO 2022-10-03 11:59:00,610 Symbol:  ETHUSD | Position:    4 | close price:  1297.12 | Side:  BUY 🟢 | Profits:  -6488.48 | Quantity:    1 🤑
INFO 2022-10-03 12:00:00,517 Symbol:  ETHUSD | Position:    5 | close price:  1296.56 | Side:  BUY 🟢 | Profits:  -7785.04 | Quantity:    1 🤑
INFO 2022-10-03 12:01:00,558 Symbol:  ETHUSD | Position:    6 | close price:  1295.63 | Side:  BUY 🟢 | Profits:  -9080.67 | Quantity:    1 🤑
INFO 2022-10-03 12:02:00,791 Symbol:  ETHUSD | Position:    7 | close price:  1296.66 | Side:  BUY 🟢 | Profits: -10377.33 | Quantity:    1 🤑
INFO 2022-10-03 12:03:00,775 Symbol:  ETHUSD | Position:    8 | close price:  1296.19 | Side:  BUY 🟢 | Profits: -11673.52 | Quantity:    1 🤑
INFO 2022-10-03 12:04:00,780 Symbol:  ETHUSD | Position:    9 | close price:  1297.31 | Side:  BUY 🟢 | Profits: -12970.83 | Quantity:    1 🤑
INFO 2022-10-03 12:05:00,787 Symbol:  ETHUSD | Position:   10 | close price:   1297.6 | Side:  BUY 🟢 | Profits: -14268.43 | Quantity:    1 🤑
