INFO 2022-09-30 01:22:16,182 Symbol:  ETHUSD | Position:    0 | close price:  1332.62 | Side:  BUY 🟢 |  Profits:  -1332.62 | Quantity:    1 🤑
INFO 2022-09-30 01:23:01,338 Symbol:  ETHUSD | Position:    1 | close price:  1333.31 | Side:  BUY 🟢 |  Profits:  -2665.93 | Quantity:    1 🤑
INFO 2022-09-30 01:24:01,327 Symbol:  ETHUSD | Position:    2 | close price:  1334.26 | Side:  BUY 🟢 |  Profits:  -4000.19 | Quantity:    1 🤑
INFO 2022-09-30 01:25:00,987 Symbol:  ETHUSD | Position:    3 | close price:  1334.26 | Side:  BUY 🟢 |  Profits:  -5334.45 | Quantity:    1 🤑
INFO 2022-09-30 01:26:02,062 Symbol:  ETHUSD | Position:    4 | close price:  1331.25 | Side:  BUY 🟢 |  Profits:  -6665.70 | Quantity:    1 🤑
INFO 2022-09-30 01:27:03,017 Symbol:  ETHUSD | Position:    5 | close price:  1332.85 | Side:  BUY 🟢 |  Profits:  -7998.55 | Quantity:    1 🤑
INFO 2022-09-30 01:28:00,761 Symbol:  ETHUSD | Position:    6 | close price:  1332.85 | Side:  BUY 🟢 |  Profits:  -9331.40 | Quantity:    1 🤑
INFO 2022-09-30 01:29:01,468 Symbol:  ETHUSD | Position:    7 | close price:  1334.29 | Side:  BUY 🟢 |  Profits: -10665.69 | Quantity:    1 🤑
INFO 2022-09-30 01:30:01,261 Symbol:  ETHUSD | Position:    8 | close price:  1334.29 | Side:  BUY 🟢 |  Profits: -11999.98 | Quantity:    1 🤑
