INFO 2022-10-03 11:43:00,440 Symbol:  ETHUSD | Position:    0 | close price:  1287.59 | Side:  BUY 🟢 | Profits:  -1287.59 | Quantity:    1 🤑
INFO 2022-10-03 11:44:00,344 Symbol:  ETHUSD | Position:    1 | close price:  1288.31 | Side:  BUY 🟢 | Profits:  -2575.90 | Quantity:    1 🤑
INFO 2022-10-03 11:45:00,249 Symbol:  ETHUSD | Position:    2 | close price:  1290.33 | Side:  BUY 🟢 | Profits:  -3866.23 | Quantity:    1 🤑
INFO 2022-10-03 11:46:00,356 Symbol:  ETHUSD | Position:    3 | close price:  1290.42 | Side:  BUY 🟢 | Profits:  -5156.65 | Quantity:    1 🤑
INFO 2022-10-03 11:47:00,297 Symbol:  ETHUSD | Position:    4 | close price:  1291.52 | Side:  BUY 🟢 | Profits:  -6448.17 | Quantity:    1 🤑
INFO 2022-10-03 11:48:00,611 Symbol:  ETHUSD | Position:    5 | close price:  1292.17 | Side:  BUY 🟢 | Profits:  -7740.34 | Quantity:    1 🤑
INFO 2022-10-03 11:49:00,583 Symbol:  ETHUSD | Position:    6 | close price:  1292.96 | Side:  BUY 🟢 | Profits:  -9033.30 | Quantity:    1 🤑
INFO 2022-10-03 11:50:00,470 Symbol:  ETHUSD | Position:    7 | close price:  1292.31 | Side:  BUY 🟢 | Profits: -10325.61 | Quantity:    1 🤑
INFO 2022-10-03 11:51:00,387 Symbol:  ETHUSD | Position:    8 | close price:  1292.77 | Side:  BUY 🟢 | Profits: -11618.38 | Quantity:    1 🤑
INFO 2022-10-03 11:52:00,399 Symbol:  ETHUSD | Position:    9 | close price:  1292.64 | Side:  BUY 🟢 | Profits: -12911.02 | Quantity:    1 🤑
INFO 2022-10-03 11:53:00,282 Symbol:  ETHUSD | Position:   10 | close price:  1294.37 | Side:  BUY 🟢 | Profits: -14205.39 | Quantity:    1 🤑
