INFO 2022-10-04 05:22:03,521 Symbol:  ETHUSD | Position:    3 | close price:   1323.1 | Side:  BUY \U0001f7e2 | Profits:  -5285.89 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:23:01,374 Symbol:  ETHUSD | Position:    4 | close price:   1324.3 | Side:  BUY \U0001f7e2 | Profits:  -6610.19 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:24:01,217 Symbol:  ETHUSD | Position:    5 | close price:  1326.14 | Side:  BUY \U0001f7e2 | Profits:  -7936.33 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:25:01,222 Symbol:  ETHUSD | Position:    6 | close price:  1325.32 | Side:  BUY \U0001f7e2 | Profits:  -9261.65 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:26:01,320 Symbol:  ETHUSD | Position:    7 | close price:  1326.38 | Side:  BUY \U0001f7e2 | Profits: -10588.03 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:27:01,255 Symbol:  ETHUSD | Position:    8 | close price:   1326.7 | Side:  BUY \U0001f7e2 | Profits: -11914.73 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:28:01,145 Symbol:  ETHUSD | Position:    9 | close price:  1325.06 | Side:  BUY \U0001f7e2 | Profits: -13239.79 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:29:00,948 Symbol:  ETHUSD | Position:   10 | close price:  1324.97 | Side:  BUY \U0001f7e2 | Profits: -14564.76 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:39:01,379 Symbol:  ETHUSD | Position:   11 | close price:  1327.85 | Side: SELL \U0001f534 | Profits:  -1286.26 | Quantity:   10 \U0001f4b5
INFO 2022-10-04 05:40:01,391 Symbol:  ETHUSD | Position:    1 | close price:   1327.6 | Side:  BUY \U0001f7e2 | Profits:  -2613.86 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:41:01,203 Symbol:  ETHUSD | Position:    2 | close price:  1327.45 | Side:  BUY \U0001f7e2 | Profits:  -3941.31 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:42:01,279 Symbol:  ETHUSD | Position:    3 | close price:  1327.27 | Side:  BUY \U0001f7e2 | Profits:  -5268.58 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:43:01,133 Symbol:  ETHUSD | Position:    4 | close price:  1326.42 | Side:  BUY \U0001f7e2 | Profits:  -6595.00 | Quantity:    1 \U0001f911
INFO 2022-10-04 05:44:01,321 Symbol:  ETHUSD | Position:    5 | close price:  1326.05 | Side:  BUY \U0001f7e2 | Profits:  -7921.05 | Quantity:    1 \U0001f911
