INFO 2022-12-19 15:12:03,227 Symbol:  ETHUSD | Position:   49 | close price:  1183.12 | Side:  BUY 🟢 | Profits: -21306.22 | Quantity:    1 🤑
INFO 2022-12-19 15:13:01,305 Symbol:  ETHUSD | Position:   50 | close price:  1183.32 | Side: SELL 🔴 | Profits: -20122.90 | Quantity:    1 💵
INFO 2022-12-19 15:14:03,017 Symbol:  ETHUSD | Position:   49 | close price:   1183.6 | Side: SELL 🔴 | Profits: -18939.30 | Quantity:    1 💵
INFO 2022-12-19 15:15:01,431 Symbol:  ETHUSD | Position:   48 | close price:  1182.91 | Side: SELL 🔴 | Profits: -17756.39 | Quantity:    1 💵
INFO 2022-12-19 15:16:01,455 Symbol:  ETHUSD | Position:   47 | close price:  1183.57 | Side: SELL 🔴 | Profits: -16572.82 | Quantity:    1 💵
INFO 2022-12-19 15:17:03,196 Symbol:  ETHUSD | Position:   46 | close price:  1183.53 | Side: SELL 🔴 | Profits: -15389.29 | Quantity:    1 💵
INFO 2022-12-19 15:18:02,513 Symbol:  ETHUSD | Position:   45 | close price:  1184.27 | Side: SELL 🔴 | Profits: -14205.02 | Quantity:    1 💵
INFO 2022-12-19 15:19:01,166 Symbol:  ETHUSD | Position:   44 | close price:  1184.31 | Side: SELL 🔴 | Profits: -13020.71 | Quantity:    1 💵
INFO 2022-12-19 15:20:02,628 Symbol:  ETHUSD | Position:   43 | close price:  1184.46 | Side: SELL 🔴 | Profits: -11836.25 | Quantity:    1 💵
INFO 2022-12-19 15:21:03,988 Symbol:  ETHUSD | Position:   42 | close price:   1184.5 | Side: SELL 🔴 | Profits: -10651.75 | Quantity:    1 💵
INFO 2022-12-19 15:22:01,798 Symbol:  ETHUSD | Position:   41 | close price:  1184.52 | Side:  BUY 🟢 | Profits: -11836.27 | Quantity:    1 🤑
INFO 2022-12-19 15:23:03,624 Symbol:  ETHUSD | Position:   42 | close price:  1184.44 | Side:  BUY 🟢 | Profits: -13020.71 | Quantity:    1 🤑
INFO 2022-12-19 15:24:01,010 Symbol:  ETHUSD | Position:   43 | close price:  1184.13 | Side:  BUY 🟢 | Profits: -14204.84 | Quantity:    1 🤑
INFO 2022-12-19 15:25:03,014 Symbol:  ETHUSD | Position:   44 | close price:  1183.99 | Side:  BUY 🟢 | Profits: -15388.83 | Quantity:    1 🤑
INFO 2022-12-19 15:26:00,902 Symbol:  ETHUSD | Position:   45 | close price:  1184.53 | Side:  BUY 🟢 | Profits: -16573.36 | Quantity:    1 🤑
INFO 2022-12-19 15:27:01,243 Symbol:  ETHUSD | Position:   46 | close price:  1184.29 | Side:  BUY 🟢 | Profits: -17757.65 | Quantity:    1 🤑
INFO 2022-12-19 15:28:01,166 Symbol:  ETHUSD | Position:   47 | close price:  1184.51 | Side:  BUY 🟢 | Profits: -18942.16 | Quantity:    1 🤑
INFO 2022-12-19 15:29:01,761 Symbol:  ETHUSD | Position:   48 | close price:  1185.37 | Side:  BUY 🟢 | Profits: -20127.53 | Quantity:    1 🤑
INFO 2022-12-19 15:30:01,241 Symbol:  ETHUSD | Position:   49 | close price:   1185.6 | Side:  BUY 🟢 | Profits: -21313.13 | Quantity:    1 🤑
INFO 2022-12-19 15:31:00,687 Symbol:  ETHUSD | Position:   50 | close price:   1185.6 | Side:  BUY 🟢 | Profits: -22498.73 | Quantity:    1 🤑
INFO 2022-12-19 15:32:01,183 Symbol:  ETHUSD | Position:   51 | close price:  1185.89 | Side:  BUY 🟢 | Profits: -23684.62 | Quantity:    1 🤑
INFO 2022-12-19 15:33:02,369 Symbol:  ETHUSD | Position:   52 | close price:  1184.92 | Side:  BUY 🟢 | Profits: -24869.54 | Quantity:    1 🤑
INFO 2022-12-19 15:34:01,546 Symbol:  ETHUSD | Position:   53 | close price:  1185.13 | Side:  BUY 🟢 | Profits: -26054.67 | Quantity:    1 🤑
INFO 2022-12-19 15:35:01,856 Symbol:  ETHUSD | Position:   54 | close price:  1184.97 | Side:  BUY 🟢 | Profits: -27239.64 | Quantity:    1 🤑
INFO 2022-12-19 15:36:01,610 Symbol:  ETHUSD | Position:   55 | close price:  1184.97 | Side:  BUY 🟢 | Profits: -28424.61 | Quantity:    1 🤑
INFO 2022-12-19 15:37:02,397 Symbol:  ETHUSD | Position:   56 | close price:  1185.27 | Side:  BUY 🟢 | Profits: -29609.88 | Quantity:    1 🤑
INFO 2022-12-19 15:38:01,677 Symbol:  ETHUSD | Position:   57 | close price:  1185.27 | Side:  BUY 🟢 | Profits: -30795.15 | Quantity:    1 🤑
INFO 2022-12-19 15:39:01,671 Symbol:  ETHUSD | Position:   58 | close price:  1185.09 | Side:  BUY 🟢 | Profits: -31980.24 | Quantity:    1 🤑
INFO 2022-12-19 15:40:02,861 Symbol:  ETHUSD | Position:   59 | close price:   1185.3 | Side:  BUY 🟢 | Profits: -33165.54 | Quantity:    1 🤑
INFO 2022-12-19 15:41:01,084 Symbol:  ETHUSD | Position:   60 | close price:  1184.29 | Side:  BUY 🟢 | Profits: -34349.83 | Quantity:    1 🤑
INFO 2022-12-19 15:42:02,010 Symbol:  ETHUSD | Position:   61 | close price:  1183.68 | Side:  BUY 🟢 | Profits: -35533.51 | Quantity:    1 🤑
INFO 2022-12-19 15:43:03,618 Symbol:  ETHUSD | Position:   62 | close price:  1183.44 | Side:  BUY 🟢 | Profits: -36716.95 | Quantity:    1 🤑
INFO 2022-12-19 15:44:02,236 Symbol:  ETHUSD | Position:   63 | close price:  1184.19 | Side: SELL 🔴 | Profits: -35532.76 | Quantity:    1 💵
INFO 2022-12-19 15:45:00,721 Symbol:  ETHUSD | Position:   62 | close price:  1184.08 | Side: SELL 🔴 | Profits: -34348.68 | Quantity:    1 💵
INFO 2022-12-19 15:46:02,246 Symbol:  ETHUSD | Position:   61 | close price:   1184.8 | Side: SELL 🔴 | Profits: -33163.88 | Quantity:    1 💵
INFO 2022-12-19 15:47:04,283 Symbol:  ETHUSD | Position:   60 | close price:  1184.73 | Side: SELL 🔴 | Profits: -31979.15 | Quantity:    1 💵
INFO 2022-12-19 15:48:04,657 Symbol:  ETHUSD | Position:   59 | close price:  1185.01 | Side: SELL 🔴 | Profits: -30794.14 | Quantity:    1 💵
INFO 2022-12-19 15:49:01,789 Symbol:  ETHUSD | Position:   58 | close price:  1184.87 | Side: SELL 🔴 | Profits: -29609.27 | Quantity:    1 💵
INFO 2022-12-19 15:50:01,865 Symbol:  ETHUSD | Position:   57 | close price:  1184.92 | Side: SELL 🔴 | Profits: -28424.35 | Quantity:    1 💵
INFO 2022-12-19 15:51:01,841 Symbol:  ETHUSD | Position:   56 | close price:  1185.06 | Side: SELL 🔴 | Profits: -27239.29 | Quantity:    1 💵
INFO 2022-12-19 15:52:01,478 Symbol:  ETHUSD | Position:   55 | close price:  1185.11 | Side: SELL 🔴 | Profits: -26054.18 | Quantity:    1 💵
INFO 2022-12-19 15:53:02,787 Symbol:  ETHUSD | Position:   54 | close price:  1184.89 | Side: SELL 🔴 | Profits: -24869.29 | Quantity:    1 💵
INFO 2022-12-19 15:54:02,039 Symbol:  ETHUSD | Position:   53 | close price:  1184.83 | Side: SELL 🔴 | Profits: -23684.46 | Quantity:    1 💵
INFO 2022-12-19 15:55:04,223 Symbol:  ETHUSD | Position:   52 | close price:  1184.67 | Side: SELL 🔴 | Profits: -22499.79 | Quantity:    1 💵
INFO 2022-12-19 15:56:01,919 Symbol:  ETHUSD | Position:   51 | close price:  1183.68 | Side:  BUY 🟢 | Profits: -23683.47 | Quantity:    1 🤑
INFO 2022-12-19 15:57:01,926 Symbol:  ETHUSD | Position:   52 | close price:  1184.25 | Side:  BUY 🟢 | Profits: -24867.72 | Quantity:    1 🤑
INFO 2022-12-19 15:58:03,173 Symbol:  ETHUSD | Position:   53 | close price:  1184.15 | Side:  BUY 🟢 | Profits: -26051.87 | Quantity:    1 🤑
INFO 2022-12-19 15:59:07,708 Symbol:  ETHUSD | Position:   54 | close price:  1184.57 | Side:  BUY 🟢 | Profits: -27236.44 | Quantity:    1 🤑
INFO 2022-12-19 16:00:08,625 Symbol:  ETHUSD | Position:   55 | close price:  1185.43 | Side:  BUY 🟢 | Profits: -28421.87 | Quantity:    1 🤑
INFO 2022-12-19 16:01:04,518 Symbol:  ETHUSD | Position:   56 | close price:  1184.36 | Side:  BUY 🟢 | Profits: -29606.23 | Quantity:    1 🤑
