,Date,Open,High,Low,Close,ema20,ema100,ema200,bb_bbh,bb_bbl,ema_20_100_diff,ema_100_200_diff,ema_20_200_diff,ema100_BBH_diff,ema200_BBH_diff,ema100_BBL_diff,ema200_BBL_diff,ema_20_100_flag,ema_100_200_flag,ema_20_200_flag,ema100_BBH_flag,ema200_BBH_flag,ema100_BBL_flag,ema200_BBL_flag,flag_close_100ema,flag_close_200ema,flag_close_BBU,flag_close_BBL
0,2022-01-14 15:15:00,0.00879,0.0088,0.00878,0.00878,0.00878,0.00878,0.00878,0.0,0.0,0.0,0.0,0.0,0.00878,0.00878,0.00878,0.00878,0,0,0,0,0,0,0,0,0,0,0
1,2022-01-14 15:30:00,0.00879,0.00879,0.00878,0.00878,0.00878,0.00878,0.00878,0.0,0.0,0.0,0.0,0.0,0.00878,0.00878,0.00878,0.00878,0,0,0,1,1,1,1,1,1,0,0
2,2022-01-14 15:45:00,0.00879,0.00879,0.00878,0.00879,0.00878095238095238,0.00878019801980198,0.008780099502487562,0.0,0.0,7.543611503998959e-07,9.851731441919143e-08,8.528784648190874e-07,0.00878019801980198,0.008780099502487562,0.00878019801980198,0.008780099502487562,1,1,1,1,1,1,1,0,0,0,0
3,2022-01-14 16:00:00,0.00879,0.00879,0.00879,0.00879,0.008781814058956916,0.008780392118419763,0.008780198014900622,0.0,0.0,1.4219405371530824e-06,1.9410351914141144e-07,1.6160440562944939e-06,0.008780392118419763,0.008780198014900622,0.008780392118419763,0.008780198014900622,1,1,1,1,1,1,1,0,0,0,0
4,2022-01-14 16:15:00,0.00879,0.00879,0.00879,0.00879,0.008782593672389592,0.00878058237350056,0.008780295547090667,0.0,0.0,2.01129888903126e-06,2.868264098940254e-07,2.2981252989252854e-06,0.00878058237350056,0.008780295547090667,0.00878058237350056,0.008780295547090667,1,1,1,1,1,1,1,0,0,0,0
5,2022-01-14 16:30:00,0.00879,0.00879,0.00878,0.00878,0.008782346655971536,0.008780570841352035,0.008780292606323596,0.0,0.0,1.7758146195010621e-06,2.7823502843880854e-07,2.0540496479398707e-06,0.008780570841352035,0.008780292606323596,0.008780570841352035,0.008780292606323596,1,1,1,1,1,1,1,1,1,0,0
6,2022-01-14 16:45:00,0.00878,0.00879,0.00878,0.00878,0.008782123164926627,0.008780559537562885,0.00878028969481789,0.0,0.0,1.5636273637421177e-06,2.6984274499597394e-07,1.8334701087380917e-06,0.008780559537562885,0.00878028969481789,0.008780559537562885,0.00878028969481789,1,1,1,1,1,1,1,1,1,0,0
7,2022-01-14 17:00:00,0.00878,0.00878,0.00877,0.00878,0.008781920958743139,0.008780548457611144,0.008780286812282389,0.0,0.0,1.3725011319947605e-06,2.6164532875537494e-07,1.6341464607501355e-06,0.008780548457611144,0.008780286812282389,0.008780548457611144,0.008780286812282389,1,1,1,1,1,1,1,1,1,0,0
8,2022-01-14 17:15:00,0.00878,0.00878,0.00877,0.00877,0.008780785629339032,0.00878033957726241,0.00878018445594127,0.0,0.0,4.460520766219611e-07,1.551213211388458e-07,6.011733977608069e-07,0.00878033957726241,0.00878018445594127,0.00878033957726241,0.00878018445594127,1,1,1,1,1,1,1,0,0,0,0
9,2022-01-14 17:30:00,0.00877,0.00877,0.00876,0.00876,0.008778806045592457,0.008779936813356223,0.008779983615583648,0.0,0.0,-1.1307677637659858e-06,-4.680222742518836e-08,-1.1775699911911741e-06,0.008779936813356223,0.008779983615583648,0.008779936813356223,0.008779983615583648,0,0,0,1,1,1,1,0,0,0,0
